<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20110915;100000;157055.00000;157365.00000;156750.00000;156800.00000;11490
20110915;100500;156795.00000;156940.00000;156650.00000;156840.00000;4527
20110915;101000;156830.00000;157240.00000;156800.00000;157100.00000;4842
20110915;101500;157080.00000;157300.00000;156895.00000;156925.00000;6013
20110915;102000;156920.00000;156950.00000;156805.00000;156855.00000;3868
20110915;102500;156870.00000;157240.00000;156815.00000;157240.00000;3650
20110915;103000;157220.00000;157545.00000;157210.00000;157355.00000;4744
20110915;103500;157355.00000;157355.00000;157075.00000;157080.00000;4379
20110915;104000;157080.00000;157170.00000;156590.00000;156680.00000;9508
20110915;104500;156675.00000;156705.00000;156335.00000;156515.00000;7258
20110915;105000;156520.00000;156735.00000;156485.00000;156630.00000;3655
20110915;105500;156625.00000;156625.00000;155855.00000;156040.00000;13141
20110915;110000;156050.00000;156300.00000;155835.00000;156015.00000;12678
20110915;110500;156015.00000;156390.00000;155945.00000;156270.00000;11049
20110915;111000;156265.00000;156340.00000;156050.00000;156075.00000;9064
20110915;111500;156095.00000;156270.00000;155755.00000;156265.00000;14180
20110915;112000;156265.00000;156715.00000;156175.00000;156685.00000;13955
20110915;112500;156680.00000;156900.00000;156560.00000;156840.00000;12444
20110915;113000;156830.00000;156900.00000;156255.00000;156350.00000;9937
20110915;113500;156345.00000;156675.00000;156060.00000;156175.00000;9779
20110915;114000;156190.00000;156700.00000;156150.00000;156700.00000;10229
20110915;114500;156700.00000;156980.00000;156445.00000;156950.00000;13774
20110915;115000;156960.00000;157000.00000;156690.00000;156880.00000;11047
20110915;115500;156890.00000;157235.00000;156830.00000;156975.00000;14124
20110915;120000;156975.00000;157085.00000;156845.00000;156950.00000;8592
20110915;120500;156930.00000;157295.00000;156755.00000;157160.00000;14076
20110915;121000;157160.00000;157250.00000;156930.00000;157040.00000;8431
20110915;121500;157040.00000;157290.00000;156965.00000;157275.00000;8452
20110915;122000;157270.00000;157710.00000;157270.00000;157670.00000;14937
20110915;122500;157655.00000;157725.00000;157410.00000;157650.00000;8502
20110915;123000;157625.00000;158065.00000;157600.00000;157990.00000;16853
20110915;123500;158000.00000;158380.00000;157750.00000;157795.00000;20148
20110915;124000;157795.00000;157980.00000;157390.00000;157480.00000;13748
20110915;124500;157490.00000;157630.00000;157375.00000;157600.00000;5237
20110915;125000;157595.00000;157625.00000;157175.00000;157255.00000;5712
20110915;125500;157255.00000;157495.00000;157250.00000;157315.00000;3356
20110915;130000;157355.00000;157360.00000;157070.00000;157290.00000;6441
20110915;130500;157305.00000;157520.00000;157295.00000;157435.00000;6047
20110915;131000;157435.00000;157480.00000;157275.00000;157395.00000;4017
20110915;131500;157375.00000;157425.00000;157080.00000;157220.00000;5042
20110915;132000;157215.00000;157265.00000;156960.00000;156960.00000;5094
20110915;132500;156960.00000;157050.00000;156815.00000;156940.00000;5767
20110915;133000;156930.00000;157215.00000;156900.00000;157080.00000;6656
20110915;133500;157070.00000;157400.00000;157060.00000;157350.00000;4776
20110915;134000;157355.00000;157690.00000;157305.00000;157675.00000;5587
20110915;134500;157680.00000;157750.00000;157560.00000;157610.00000;5246
20110915;135000;157610.00000;157710.00000;157550.00000;157665.00000;3838
20110915;135500;157670.00000;157920.00000;157615.00000;157920.00000;4987
20110915;140000;157920.00000;157920.00000;157670.00000;157745.00000;2759
20110915;140500;157755.00000;157975.00000;157665.00000;157975.00000;5227
20110915;141000;157960.00000;158100.00000;157930.00000;158040.00000;7316
20110915;141500;158020.00000;158145.00000;157945.00000;158070.00000;3677
20110915;142000;158065.00000;158100.00000;157635.00000;157725.00000;4856
20110915;142500;157750.00000;157755.00000;157600.00000;157680.00000;4032
20110915;143000;157675.00000;157795.00000;157560.00000;157575.00000;2673
20110915;143500;157570.00000;157900.00000;157570.00000;157735.00000;5241
20110915;144000;157745.00000;158140.00000;157715.00000;158100.00000;6069
20110915;144500;158100.00000;158670.00000;158100.00000;158525.00000;14920
20110915;145000;158510.00000;159200.00000;158300.00000;158755.00000;19580
20110915;145500;158770.00000;159250.00000;158755.00000;159215.00000;10137
20110915;150000;159215.00000;159375.00000;159005.00000;159225.00000;9871
20110915;150500;159225.00000;159240.00000;158730.00000;158795.00000;10245
20110915;151000;158795.00000;158830.00000;158150.00000;158190.00000;9789
20110915;151500;158150.00000;158305.00000;157815.00000;157850.00000;12367
20110915;152000;157855.00000;158235.00000;157770.00000;158085.00000;10559
20110915;152500;158080.00000;158115.00000;157400.00000;157910.00000;14793
20110915;153000;157900.00000;158300.00000;157780.00000;158270.00000;10091
20110915;153500;158250.00000;158310.00000;158065.00000;158250.00000;10479
20110915;154000;158250.00000;158310.00000;157850.00000;157970.00000;12948
20110915;154500;157965.00000;158310.00000;157935.00000;158050.00000;24661
20110915;155000;158075.00000;158090.00000;157800.00000;158000.00000;15534
20110915;155500;158005.00000;158070.00000;157635.00000;157830.00000;23751
20110915;160000;157840.00000;158050.00000;157800.00000;157915.00000;15143
20110915;160500;157910.00000;158165.00000;157830.00000;158070.00000;8712
20110915;161000;158070.00000;158490.00000;158035.00000;158370.00000;11520
20110915;161500;158370.00000;158490.00000;158130.00000;158170.00000;10327
20110915;162000;158150.00000;158170.00000;157955.00000;157955.00000;7233
20110915;162500;157965.00000;158090.00000;157900.00000;157905.00000;8095
20110915;163000;157935.00000;157965.00000;157195.00000;157555.00000;31159
20110915;163500;157555.00000;158090.00000;157465.00000;157965.00000;12239
20110915;164000;157960.00000;158300.00000;157790.00000;158000.00000;16084
20110915;164500;158000.00000;158050.00000;157525.00000;157705.00000;13053
20110915;165000;157715.00000;157960.00000;157555.00000;157590.00000;8236
20110915;165500;157615.00000;157615.00000;157105.00000;157195.00000;11786
20110915;170000;157200.00000;158565.00000;157140.00000;158190.00000;52396
20110915;170500;158185.00000;158750.00000;158050.00000;158405.00000;29960
20110915;171000;158395.00000;159230.00000;158365.00000;159205.00000;25614
20110915;171500;159180.00000;160030.00000;159180.00000;159820.00000;47432
20110915;172000;159810.00000;159925.00000;159510.00000;159700.00000;22341
20110915;172500;159700.00000;159745.00000;159445.00000;159535.00000;12031
20110915;173000;159530.00000;159735.00000;159115.00000;159230.00000;18442
20110915;173500;159245.00000;159420.00000;159050.00000;159320.00000;15318
20110915;174000;159320.00000;159325.00000;158750.00000;159180.00000;19063
20110915;174500;159185.00000;159280.00000;158765.00000;158960.00000;12356
20110915;175000;158955.00000;159195.00000;158915.00000;158955.00000;10046
20110915;175500;158950.00000;159135.00000;158605.00000;158695.00000;14880
20110915;180000;158670.00000;159330.00000;158625.00000;159330.00000;21250
20110915;180500;159315.00000;159460.00000;159180.00000;159340.00000;14877
20110915;181000;159355.00000;159360.00000;158700.00000;158785.00000;14467
20110915;181500;158785.00000;158950.00000;158515.00000;158935.00000;12698
20110915;182000;158935.00000;158965.00000;158420.00000;158455.00000;9697
20110915;182500;158440.00000;158550.00000;157955.00000;157990.00000;14988
20110915;183000;157975.00000;158020.00000;157465.00000;157815.00000;18016
20110915;183500;157835.00000;157880.00000;157260.00000;157300.00000;15038
20110915;184000;157295.00000;157395.00000;157065.00000;157195.00000;21497
20110915;191000;157290.00000;157395.00000;156185.00000;156235.00000;14456
20110915;191500;156255.00000;157240.00000;156185.00000;157055.00000;13088
20110915;192000;157060.00000;157320.00000;157020.00000;157060.00000;5738
20110915;192500;157060.00000;157060.00000;156400.00000;156810.00000;11452
20110915;193000;156830.00000;157295.00000;156755.00000;157005.00000;8663
20110915;193500;157005.00000;157275.00000;156905.00000;157170.00000;5095
20110915;194000;157160.00000;157240.00000;156965.00000;157120.00000;4705
20110915;194500;157125.00000;157280.00000;156990.00000;157095.00000;4525
20110915;195000;157085.00000;157125.00000;156665.00000;156750.00000;5281
20110915;195500;156745.00000;156920.00000;156660.00000;156865.00000;3775
20110915;200000;156850.00000;156930.00000;156535.00000;156905.00000;4821
20110915;200500;156920.00000;157130.00000;156740.00000;157090.00000;3252
20110915;201000;157085.00000;157245.00000;157020.00000;157160.00000;4925
20110915;201500;157150.00000;157250.00000;157060.00000;157185.00000;2613
20110915;202000;157195.00000;157225.00000;156910.00000;156935.00000;3085
20110915;202500;156925.00000;157070.00000;156860.00000;156935.00000;2062
20110915;203000;156955.00000;157230.00000;156880.00000;157200.00000;3837
20110915;203500;157190.00000;157475.00000;157185.00000;157295.00000;5522
20110915;204000;157295.00000;157360.00000;157210.00000;157335.00000;1993
20110915;204500;157345.00000;157360.00000;157020.00000;157100.00000;3328
20110915;205000;157090.00000;157175.00000;156900.00000;156990.00000;3087
20110915;205500;156975.00000;157165.00000;156930.00000;157010.00000;1786
20110915;210000;157020.00000;157315.00000;156980.00000;157305.00000;3619
20110915;210500;157305.00000;157320.00000;157185.00000;157235.00000;1972
20110915;211000;157260.00000;157305.00000;157070.00000;157160.00000;2522
20110915;211500;157145.00000;157200.00000;157110.00000;157160.00000;1669
20110915;212000;157155.00000;157190.00000;157125.00000;157155.00000;1345
20110915;212500;157165.00000;157175.00000;157005.00000;157030.00000;1845
20110915;213000;157040.00000;157060.00000;156830.00000;156875.00000;4048
20110915;213500;156875.00000;156955.00000;156705.00000;156790.00000;3024
20110915;214000;156785.00000;156940.00000;156745.00000;156905.00000;1581
20110915;214500;156895.00000;157085.00000;156840.00000;156990.00000;3531
20110915;215000;157000.00000;157160.00000;156820.00000;157125.00000;3049
20110915;215500;157145.00000;157170.00000;156880.00000;157135.00000;3536
20110915;220000;157160.00000;157285.00000;157120.00000;157230.00000;3110
20110915;220500;157235.00000;157445.00000;157175.00000;157355.00000;6376
20110915;221000;157375.00000;157825.00000;157365.00000;157495.00000;9065
20110915;221500;157480.00000;157565.00000;157295.00000;157410.00000;4573
20110915;222000;157405.00000;157405.00000;157075.00000;157140.00000;3798
20110915;222500;157130.00000;157540.00000;157035.00000;157530.00000;4940
20110915;223000;157510.00000;157640.00000;157315.00000;157510.00000;4872
20110915;223500;157510.00000;157660.00000;157350.00000;157625.00000;3745
20110915;224000;157635.00000;157755.00000;157505.00000;157720.00000;4382
20110915;224500;157720.00000;157850.00000;157510.00000;157665.00000;4709
20110915;225000;157650.00000;157795.00000;157535.00000;157795.00000;2092
20110915;225500;157780.00000;157890.00000;157725.00000;157890.00000;2984
20110915;230000;157890.00000;157995.00000;157755.00000;157860.00000;4361
20110915;230500;157865.00000;157950.00000;157585.00000;157600.00000;3375
20110915;231000;157605.00000;157745.00000;157570.00000;157735.00000;2315
20110915;231500;157720.00000;157730.00000;157255.00000;157345.00000;5599
20110915;232000;157340.00000;157420.00000;157255.00000;157420.00000;3235
20110915;232500;157400.00000;157400.00000;157110.00000;157190.00000;4625
20110915;233000;157200.00000;157425.00000;157055.00000;157425.00000;4383
20110915;233500;157420.00000;157440.00000;157220.00000;157360.00000;2795
20110915;234000;157360.00000;157540.00000;157260.00000;157530.00000;3407
20110915;234500;157530.00000;157685.00000;157300.00000;157685.00000;5507
20110916;100000;157690.00000;158395.00000;157690.00000;158045.00000;15428
20110916;100500;158035.00000;158190.00000;157735.00000;158115.00000;9928
20110916;101000;158125.00000;158480.00000;158105.00000;158420.00000;9731
20110916;101500;158420.00000;158630.00000;158155.00000;158175.00000;13436
20110916;102000;158175.00000;158275.00000;158055.00000;158055.00000;7350
20110916;102500;158055.00000;158190.00000;157910.00000;158020.00000;9804
20110916;103000;158015.00000;158100.00000;157340.00000;157445.00000;13559
20110916;103500;157435.00000;157515.00000;157205.00000;157415.00000;9437
20110916;104000;157435.00000;157770.00000;157350.00000;157670.00000;7180
20110916;104500;157655.00000;157725.00000;157260.00000;157375.00000;8101
20110916;105000;157375.00000;157390.00000;156850.00000;156850.00000;14231
20110916;105500;156865.00000;156980.00000;156600.00000;156795.00000;14642
20110916;110000;156795.00000;156950.00000;156300.00000;156685.00000;19622
20110916;110500;156675.00000;156775.00000;156360.00000;156670.00000;10872
20110916;111000;156670.00000;157095.00000;156375.00000;156420.00000;18761
20110916;111500;156405.00000;156925.00000;156355.00000;156710.00000;16291
20110916;112000;156710.00000;156865.00000;156420.00000;156710.00000;12252
20110916;112500;156700.00000;156910.00000;156600.00000;156745.00000;10588
20110916;113000;156740.00000;156740.00000;156250.00000;156325.00000;19025
20110916;113500;156315.00000;156600.00000;156070.00000;156405.00000;17289
20110916;114000;156415.00000;156785.00000;156125.00000;156740.00000;17512
20110916;114500;156740.00000;156915.00000;156475.00000;156540.00000;12570
20110916;115000;156525.00000;156725.00000;156440.00000;156510.00000;11397
20110916;115500;156525.00000;156560.00000;155840.00000;155965.00000;18862
20110916;120000;155965.00000;155975.00000;155345.00000;155725.00000;25010
20110916;120500;155725.00000;155760.00000;155375.00000;155605.00000;10150
20110916;121000;155605.00000;155770.00000;155415.00000;155750.00000;8836
20110916;121500;155755.00000;155795.00000;155470.00000;155605.00000;8236
20110916;122000;155605.00000;156450.00000;155565.00000;156045.00000;18106
20110916;122500;156045.00000;156060.00000;154210.00000;154330.00000;42485
20110916;123000;154330.00000;154500.00000;153940.00000;154445.00000;28537
20110916;123500;154425.00000;154535.00000;153800.00000;153975.00000;20867
20110916;124000;153990.00000;154150.00000;153445.00000;153905.00000;26427
20110916;124500;153905.00000;153935.00000;153155.00000;153430.00000;24187
20110916;125000;153405.00000;153740.00000;153320.00000;153615.00000;11107
20110916;125500;153610.00000;154040.00000;153560.00000;153990.00000;10992
20110916;130000;153970.00000;154200.00000;153805.00000;154110.00000;12889
20110916;130500;154100.00000;154240.00000;153870.00000;154110.00000;9647
20110916;131000;154100.00000;154750.00000;154095.00000;154585.00000;16486
20110916;131500;154555.00000;154850.00000;154550.00000;154825.00000;12408
20110916;132000;154825.00000;155070.00000;154720.00000;154790.00000;15304
20110916;132500;154810.00000;154880.00000;154220.00000;154235.00000;8274
20110916;133000;154255.00000;154295.00000;153755.00000;154255.00000;13797
20110916;133500;154255.00000;154715.00000;154200.00000;154505.00000;12083
20110916;134000;154515.00000;154815.00000;154355.00000;154810.00000;6061
20110916;134500;154810.00000;154890.00000;154665.00000;154770.00000;5507
20110916;135000;154770.00000;154800.00000;154550.00000;154675.00000;4730
20110916;135500;154670.00000;155135.00000;154655.00000;154795.00000;12254
20110916;140000;154700.00000;154820.00000;154510.00000;154610.00000;3393
20110916;140500;154605.00000;154695.00000;154270.00000;154275.00000;7580
20110916;141000;154290.00000;154315.00000;154000.00000;154100.00000;10764
20110916;141500;154100.00000;154600.00000;154070.00000;154600.00000;7493
20110916;142000;154600.00000;154650.00000;154225.00000;154310.00000;5486
20110916;142500;154320.00000;154550.00000;154300.00000;154415.00000;3664
20110916;143000;154420.00000;154800.00000;154370.00000;154720.00000;7159
